Auto Aligned,Binding Type,Initial Aligned Version,Aligned Note,Manual Inspection Notes,Binding?,Related?,Official?,Main package?,ID,Host Repo IDs,Type,Platform,Name,Repository URL,First Version Date,Versions Count,Binding Host,Description,Repository Name with Owner,Repository Description,Keywords,Licenses,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host Normalized,Binding Host Normalized - No Space
N,,,,,TRUE,FALSE,FALSE,,310942,845049,Binding,NPM,scikit-node,https://github.com/lramsey/scikit-node,,4,scikit-learn,node wrapper for python's scikit-learn,lramsey/scikit-node,npm wrapper for python's scikit-learn machine learning library.,"scikit-learn,machine learning",MIT,0,,1,149775,GitHub,FALSE,60,MIT,,,scikit learn,scikitlearn
Y,,,"lost tags in the dataset, https://github.com/nltk/nltk/releases?after=3.4",,TRUE,FALSE,FALSE,TRUE,61313,845081,Project,Pypi,nltk,,,37,nltk,Natural Language Toolkit,,,"NLP,CL,natural language processing,computational linguistics,parsing,tagging,tokenizing,syntax,linguistics,language,natural language,text analytics",Apache-2.0,83,,8773,,,,,,,,,
N,,,"https://github.com/rplevy/clojure-nltk/blob/master/resources/nltk/VERSION;OLD: 6, 2.0.3-clj-0 not sure, https://clojars.org/clojure-nltk, found a GitHub repo (not in the dataset) https://github.com/rplevy/clojure-nltk/tree/a3ae48d37ac1549090293705265c0085a8e55ba0, refer to its history https://github.com/rplevy/clojure-nltk/commits/a3ae48d37ac1549090293705265c0085a8e55ba0/project.clj",,TRUE,FALSE,FALSE,,722401,845081,Binding,Clojars,clojure-nltk,https://github.com//,2015-10-05 9:04:39,6,NLTK,Python's NLTK for Clojure (interop / partial port).,,,,,0,,0,,,,,,,,nltk,nltk
N,,,"13, alignment not indicated, using ironpython and pip install nltk https://github.com/nrcpp/NltkNet",,TRUE,FALSE,FALSE,,3518400,845081,Binding,NuGet,NltkNet,https://github.com/nrcpp/NltkNet,2018-12-29 20:13:50,13,NLTK,NLTK python library wrapper for .NET,nrcpp/NltkNet,NLTK library wrapper for .NET,"nltk,nlp,parser,POS,tokenizer,NER,categorizer,chunker,IronPython",MIT,0,,0,37628611,GitHub,FALSE,3,MIT,,,nltk,nltk
Y,,,"different with GitHub, more releases on PyPI, https://github.com/explosion/spaCy, https://pypi.org/project/spacy/",,TRUE,TRUE,TRUE,TRUE,79381,845210,Project,Pypi,spacy,,2015-01-02 17:43:40,157,,Industrial-strength Natural Language Processing (NLP) in Python,explosion/spaCy,牒 Industrial-strength Natural Language Processing (NLP) with Python and Cython,"NLP, Language, Text, Text Processing, Data Mining, NER",MIT,31,,1459,845210,GitHub,FALSE,15161,MIT,,"ai,artificial-intelligence,big-data,cython,data-science,deep-learning,machine-learning,natural-language-processing,neural-network,neural-networks,nlp,nlp-library,python,spacy",,
N,,,,,TRUE,FALSE,FALSE,,3364731,845210,Binding,NPM,spacy,https://github.com/ines/spacy-js,2018-10-27 17:12:41,4,spaCy,JavaScript API for spaCy with Python REST API,ines/spacy-js,死 JavaScript API for spaCy with Python REST API,"spacy,nlp,natural language processing,machine learning,artificial intelligence",MIT,0,,0,36848416,GitHub,FALSE,39,MIT,,"javascript,natural-language-processing,nlp,python,rest-api,spacy",spacy,spacy
N,,,,,TRUE,FALSE,FALSE,,118045,851991,Binding,Hackage,CV,https://github.com/aleator/CV,2015-01-26 0:28:06,12,OpenCV,"This is a machine vision package that wraps some functionality of OpenCV library. This package has been developed for personal use and is not meant to be a complete wrapper. It also includes some things not in OpenCV.   Currently this package is quite dirty and requires much work on documentation and code clean-up, but is somewhat tested.   (The scarce) Documentation is available at http://aleator.github.com/CV/   Changelog. 0.3.6.0 - Critical referential transparency bug fix.   0.3.5.4 - Bug fixes and preliminary compatability with opencv 2.4   0.3.5 - Many new wrappers, clean ups and other fixes.   0.3.4 - Pixelwise operations, bug fixes and additional documentation   0.3.3.0 - Improvements, including compatablity with opencv 2.3.1 and removal of dependency with deprecated JYU.Utils   Changelog. 0.3.2.0 - Improvements, including fancier pixel-wise manipulations   Changelog. 0.3.0.2 - Workaround for compiling with OS X 10.6 & fixed errors about M_PI ",,,"ai,gpl,graphics,library,machine-vision,Propose Tags ,CV.Arbitrary,CV.Binary,CV.Bindings.Types,CV.Calibration,CV.ColourUtils,CV.ConnectedComponents,CV.Conversions,CV.Corners,CV.DFT,CV.DrawableInstances,CV.Drawing,CV.Edges,CV.Features,CV.Files,CV.Filters,CV.Fitting,CV.FunnyStatistics,CV.Gabor,CV.HighGUI,CV.Histogram,CV.HoughTransform,CV.Image,CV.ImageMath,CV.ImageMathOp,CV.ImageOp,CV.Iterators,CV.LightBalance,CV.Marking,CV.Matrix,CV.Morphology,CV.MultiresolutionSpline,CV.Operations,CV.Pixelwise,CV.Projection,CV.Sampling,CV.TemplateMatching,CV.Textures,CV.Thresholding,CV.Tracking,CV.Transforms,CV.Video,Utils.DrawingClass,Utils.Function,Utils.GeometryClass,Utils.List,Utils.Point,Utils.Pointer,Utils.Rectangle,Utils.Stream",GPL-2.0+,0,,0,,,,,,,,opencv,opencv
N,C extension wrapper,manually,"support 2.x not 3.x, observed delays, https://rubygems.org/gems/ruby-opencv/versions/0.0.18",,TRUE,FALSE,FALSE,,246564,851991,Binding,Rubygems,ruby-opencv,https://github.com/ruby-opencv/ruby-opencv,2013-01-26 21:42:25,19,OpenCV,ruby-opencv is a wrapper of OpenCV for Ruby. It helps you to write computer vision programs (e.g. detecting faces from pictures) with Ruby.,ruby-opencv/ruby-opencv,Versioned fork of the OpenCV gem for Ruby,,BSD-3-Clause,13,,107,327063,GitHub,TRUE,677,BSD-3-Clause,,,opencv,opencv
N,javacpp-presets,,"Not only for opencv, alignment not found",,TRUE,FALSE,FALSE,,338484,851991,Binding,Maven,org.bytedeco:javacv,https://github.com/bytedeco/javacv,2014-04-27 14:51:22,15,OpenCV,Java interface to OpenCV and more,bytedeco/javacv,"Java interface to OpenCV, FFmpeg, and more",,GPL-2.0-with-classpath-exception,12,,328,172775,GitHub,FALSE,3259,Other,,"computer-vision,ffmpeg,java,javacv,maven,multimedia,opencv",opencv,opencv
Y,,,,2.x versions,TRUE,TRUE,FALSE,,631591,851991,Linked Binding,NuGet,OpenCvSharp-WithoutDll,https://github.com/shimat/opencvsharp_2410,2014-06-24 8:07:02,18,,OpenCV wrapper for .NET Framework Use https://www.nuget.org/packages/OpenCvSharp3-AnyCPU/ instead,shimat/opencvsharp,.NET Framework wrapper for OpenCV,"OpenCV,FFI,Processing,Image,Wrapper",BSD-3-Clause,2,,9,273105,GitHub,FALSE,2081,BSD-3-Clause,,"c-sharp,computer-vision,dotnet,dotnet-core,dotnet-core2,dotnetcore,dotnetstandard,image-processing,machine-learning,mono,native-bindings,nuget,nuget-packages,opencv,opencvsharp,wrapper",,
